Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,571903202,MAR ,"3,776,602","499,719,976.64",0.339,Marriott International Inc/MD,Common Stock,Consumer Discretionary,12/03/2020
QQQ,256163106,DOCU ,"2,154,517","497,714,972.17",0.338,DocuSign Inc,Common Stock,Information Technology,12/03/2020
QQQ,192446102,CTSH ,"6,314,374","497,320,096.24",0.337,Cognizant Technology Solutions Corp,Common Stock,Information Technology,12/03/2020
QQQ,49271V100,KDP ,"16,386,689","493,239,338.90",0.335,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,12/03/2020
QQQ,722304102,PDD ,"3,359,847","487,715,390.52",0.331,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,12/03/2020
QQQ,500754106,KHC ,"14,236,819","476,221,595.55",0.323,Kraft Heinz Co/The,Common Stock,Consumer Staples,12/03/2020
QQQ,056752108,BIDU ,"3,274,473","472,309,985.52",0.320,Baidu Inc ADR,American Depository Receipt,Communication Services,12/03/2020
QQQ,016255101,ALGN ,"917,536","468,860,896.00",0.318,Align Technology Inc,Common Stock,Health Care,12/03/2020
QQQ,778296103,ROST ,"4,144,642","468,593,224.52",0.318,Ross Stores Inc,Common Stock,Consumer Discretionary,12/03/2020
QQQ,482480100,KLAC ,"1,810,397","465,978,083.83",0.316,KLA Corp,Common Stock,Information Technology,12/03/2020
QQQ,30161N101,EXC ,"11,348,013","465,835,933.65",0.316,Exelon Corp,Common Stock,Utilities,12/03/2020
QQQ,98138H101,WDAY ,"2,061,185","462,055,841.45",0.313,Workday Inc,Common Stock,Information Technology,12/03/2020
QQQ,45168D104,IDXX ,"990,452","455,677,251.64",0.309,IDEXX Laboratories Inc,Common Stock,Health Care,12/03/2020
QQQ,09062X103,BIIB ,"1,843,521","449,985,040.89",0.305,Biogen Inc,Common Stock,Health Care,12/03/2020
QQQ,172908105,CTAS ,"1,205,253","433,517,451.57",0.294,Cintas Corp,Common Stock,Industrials,12/03/2020
QQQ,931427108,WBA ,"10,090,681","432,082,960.42",0.293,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,12/03/2020
QQQ,285512109,EA ,"3,363,057","431,749,257.66",0.293,Electronic Arts Inc,Common Stock,Communication Services,12/03/2020
QQQ,871607107,SNPS ,"1,767,247","414,366,404.09",0.281,Synopsys Inc,Common Stock,Information Technology,12/03/2020
QQQ,98389B100,XEL ,"6,117,553","411,772,492.43",0.279,Xcel Energy Inc,Common Stock,Utilities,12/03/2020
QQQ,983919101,XLNX ,"2,845,008","410,790,705.12",0.279,Xilinx Inc,Common Stock,Information Technology,12/03/2020
QQQ,278642103,EBAY ,"8,150,086","409,867,824.94",0.278,eBay Inc,Common Stock,Consumer Discretionary,12/03/2020
QQQ,595017104,MCHP ,"2,933,065","406,258,833.15",0.276,Microchip Technology Inc,Common Stock,Information Technology,12/03/2020
QQQ,N07059210,ASML ,"888,828","402,550,201.20",0.273,ASML Holding NV,American Depository Receipt - NY,Information Technology,12/03/2020
QQQ,704326107,PAYX ,"4,177,870","389,795,271.00",0.264,Paychex Inc,Common Stock,Information Technology,12/03/2020
QQQ,67103H107,ORLY ,"862,449","385,083,478.50",0.261,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,12/03/2020
QQQ,252131107,DXCM ,"1,114,879","384,220,749.77",0.261,DexCom Inc,Common Stock,Health Care,12/03/2020
QQQ,127387108,CDNS ,"3,246,576","378,810,487.68",0.257,Cadence Design Systems Inc,Common Stock,Information Technology,12/03/2020
QQQ,64110W102,NTES ,"4,176,290","366,803,550.70",0.249,NetEase Inc ADR,American Depository Receipt,Communication Services,12/03/2020
QQQ,92345Y106,VRSK ,"1,890,926","366,556,005.10",0.249,Verisk Analytics Inc,Common Stock,Industrials,12/03/2020
QQQ,81181C104,SGEN ,"2,026,120","365,025,779.20",0.248,Seagen Inc,Common Stock,Health Care,12/03/2020
QQQ,693718108,PCAR ,"4,030,883","347,663,658.75",0.236,PACCAR Inc,Common Stock,Industrials,12/03/2020
QQQ,03662Q105,ANSS ,"998,988","337,198,409.52",0.229,ANSYS Inc,Common Stock,Information Technology,12/03/2020
QQQ,82968B103,SIRI ,"50,542,296","324,986,963.28",0.220,Sirius XM Holdings Inc,Common Stock,Communication Services,12/03/2020
QQQ,311900104,FAST ,"6,679,838","316,423,926.06",0.215,Fastenal Co,Common Stock,Industrials,12/03/2020
QQQ,217204106,CPRT ,"2,733,967","314,406,205.00",0.213,Copart Inc,Common Stock,Industrials,12/03/2020
QQQ,256746108,DLTR ,"2,763,439","309,836,780.68",0.210,Dollar Tree Inc,Common Stock,Consumer Discretionary,12/03/2020
QQQ,015351109,ALXN ,"2,552,220","308,971,753.20",0.210,Alexion Pharmaceuticals Inc,Common Stock,Health Care,12/03/2020
QQQ,848637104,SPLK ,"1,849,725","292,312,041.75",0.198,Splunk Inc,Common Stock,Information Technology,12/03/2020
QQQ,83088M102,SWKS ,"1,945,164","279,539,518.44",0.190,Skyworks Solutions Inc,Common Stock,Information Technology,12/03/2020
QQQ,92343E102,VRSN ,"1,337,418","268,566,908.58",0.182,VeriSign Inc,Common Stock,Information Technology,12/03/2020
QQQ,156782104,CERN ,"3,556,168","262,765,253.52",0.178,Cerner Corp,Common Stock,Health Care,12/03/2020
QQQ,57772K101,MXIM ,"3,105,610","260,902,296.10",0.177,Maxim Integrated Products Inc,Common Stock,Information Technology,12/03/2020
QQQ,874054109,TTWO ,"1,331,481","240,678,505.56",0.163,Take-Two Interactive Software Inc,Common Stock,Communication Services,12/03/2020
